District/Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968
Gurdaspur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1234,782,975,1129,924,1038,830,950,667,1000,1025,500,500,500
Pathankot,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,0,0,0,0,0,0,0,0,0,0,1090,0,0,950,0,0,0,0,0,0,929,0,703,0,1036,0,1043,0,1212,0,1062,1107,943,818,997,1169,886,1019,1227,1198,1008,1234,728,766,881,NA,737,900,940,410,1166,1050,825,625,875
Tarn Taran,0,0,0,0,597,0,0,0,0,0,0,0,0,0,0,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,650,0,0,0,0,0,0,0,0,0,1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,667,800
Jalandhar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,1000,900
SBS Nagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoshiarpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036,0,668,1079,1212,979,1062,1107,943,0,0,0,0,1019,0,0,1008,0,1030,975,1129,924,1038,886,982,0,1000,1000,500,333,900
Rupngar,0,0,635,250,597,0,0,0,0,0,0,0,0,0,0,0,0,978,1025,810,890,0,0,0,0,0,0,0,0,0,0,0,0,0,997,0,0,0,0,0,0,0,0,975,0,0,1038,0,0,0,0,0,0,0,0
SAS Nagar,0,0,0,0,597,0,0,0,0,0,0,0,0,0,950,977,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ludhiana,0,0,0,0,0,0,0,0,975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008,1234,0,975,1129,924,1038,950,1000,1000,1000,1000,1000,1000,500
Ferozpur,0,0,0,0,0,0,0,0,0,790,0,900,0,0,0,0,0,0,0,0,950,0,703,0,0,0,1074,1079,1212,979,1062,909,869,662,1169,1072,1304,958,1288,1437,1353,1383,728,972,1267,397,1092,840,1136,561,1231,1031,1080,641,972
Fazilka,0,0,0,1000,598,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faridkot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929,0,0,0,0,0,0,0,1164,931,1106,1205,889,850,1167,1324,1014,1025,1501,1388,1289,1393,1311,1058,1159,1050,1284,1098,1588,1122,NA,NA,NA,NA,NA
Sri Muktsar Sahib,0,0,0,0,0,0,0,0,850,0,0,0,0,0,0,0,0,978,0,700,900,0,703,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moga,0,0,635,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,893,703,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bathinda,600,0,0,750,590,580,0,0,975,0,0,0,0,0,790,740,835,842,920,870,895,893,572,1087,1036,907,0,1138,1002,892,652,1018,750,1079,802,936,846,990,967,1013,780,1018,1218,934,1209,1092,1036,907,714,895,1079,1233,1048,1305,1126
Mansa,605,640,0,1000,600,580,0,0,975,0,1010,900,990,1000,990,985,1385,1150,1000,840,829,690,719,830,0,930,1192,977,1269,840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sangrur,0,0,0,0,598,0,0,0,1100,1000,0,900,2000,1125,1100,1080,980,875,1000,820,960,994,753,1216,1236,895,1107,1125,1168,1115,1222,1240,1196,602,904,1341,641,1083,1263,1144,1048,1449,832,1008,1007,811,840,693,910,714,1294,1272,1442,1100,890
Barnala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patiala,0,0,0,0,0,0,0,0,0,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079,1212,979,1062,1107,0,818,997,1015,1539,671,719,473,509,508,782,975,1045,767,1038,870,1000,900,1500,1000,1155,1000,714
Fatehgarh Sahib,0,0,0,0,0,0,0,0,0,0,0,0,1495,1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,635,640,635,583,597,580,0,0,975,895,1050,900,1495,1055,950,977,1045,978,993,810,929,893,703,1087,1036,907,1043,1079,1212,979,1062,1107,943,818,997,883,886,1019,1227,1198,1008,1234,1026,975,1129,924,1038,886,982,836,1180,1176,1117,1055,994
