Year,District,Crop,Rainfall,Temperature,Humidity,Yield
2010,Ludhiana,Wheat,623,32.5,59,3.04
2011,Ludhiana,Wheat,788,34.1,63,3.99
2012,Ludhiana,Wheat,738,29.9,85,3.31
2013,Ludhiana,Wheat,1062,25.8,52,3.87
2014,Ludhiana,Wheat,1082,26.1,84,3.08
2015,Ludhiana,Wheat,570,33.9,79,3.79
2016,Ludhiana,Wheat,726,27.3,59,3.95
2017,Ludhiana,Wheat,1031,24.7,66,3.11
2018,Ludhiana,Wheat,1077,30.9,50,3.91
2019,Ludhiana,Wheat,953,27.3,75,3.61
2020,Ludhiana,Wheat,825,33.6,67,3.52
2021,Ludhiana,Wheat,713,32.9,75,3.57
2022,Ludhiana,Wheat,921,27.9,59,3.34
2023,Ludhiana,Wheat,498,24.9,72,3.78
2024,Ludhiana,Wheat,1083,34.1,64,3.98
2010,Ludhiana,Rice,841,28.1,60,4.97
2011,Ludhiana,Rice,1033,26.0,63,4.9
2012,Ludhiana,Rice,578,28.4,83,4.16
2013,Ludhiana,Rice,652,24.8,57,4.01
2014,Ludhiana,Rice,860,28.6,79,4.1
2015,Ludhiana,Rice,908,30.9,55,4.47
2016,Ludhiana,Rice,980,26.3,51,4.91
2017,Ludhiana,Rice,1078,29.2,52,4.79
2018,Ludhiana,Rice,795,25.8,56,4.48
2019,Ludhiana,Rice,1035,28.3,82,4.54
2020,Ludhiana,Rice,501,33.5,57,4.2
2021,Ludhiana,Rice,424,33.5,64,4.17
2022,Ludhiana,Rice,543,29.3,82,4.75
2023,Ludhiana,Rice,645,34.0,55,4.51
2024,Ludhiana,Rice,1094,24.5,56,4.24
2010,Ludhiana,Cotton,580,28.5,61,2.56
2011,Ludhiana,Cotton,432,24.1,64,2.5
2012,Ludhiana,Cotton,508,29.1,71,3.27
2013,Ludhiana,Cotton,421,34.7,57,3.25
2014,Ludhiana,Cotton,633,26.3,61,2.73
2015,Ludhiana,Cotton,489,30.2,71,3.25
2016,Ludhiana,Cotton,987,25.6,65,2.9
2017,Ludhiana,Cotton,407,28.5,78,2.91
2018,Ludhiana,Cotton,597,24.9,59,2.77
2019,Ludhiana,Cotton,1077,30.2,63,3.04
2020,Ludhiana,Cotton,983,26.1,65,2.76
2021,Ludhiana,Cotton,522,33.7,63,3.07
2022,Ludhiana,Cotton,1085,34.0,58,2.89
2023,Ludhiana,Cotton,480,28.9,76,3.15
2024,Ludhiana,Cotton,429,34.7,68,2.47
2010,Ludhiana,Maize,800,29.8,63,3.22
2011,Ludhiana,Maize,972,28.5,74,3.08
2012,Ludhiana,Maize,471,29.8,50,2.94
2013,Ludhiana,Maize,947,30.0,75,2.55
2014,Ludhiana,Maize,948,25.4,55,3.08
2015,Ludhiana,Maize,774,30.6,58,2.84
2016,Ludhiana,Maize,407,24.8,74,2.86
2017,Ludhiana,Maize,880,29.2,71,2.52
2018,Ludhiana,Maize,609,34.8,77,2.82
2019,Ludhiana,Maize,570,33.1,77,3.44
2020,Ludhiana,Maize,741,31.8,70,3.45
2021,Ludhiana,Maize,1062,27.6,60,3.28
2022,Ludhiana,Maize,566,30.5,65,2.67
2023,Ludhiana,Maize,1032,33.9,61,2.96
2024,Ludhiana,Maize,597,29.4,60,2.8
2010,Ludhiana,Sugarcane,536,34.7,83,6.5
2011,Ludhiana,Sugarcane,721,28.9,62,6.01
2012,Ludhiana,Sugarcane,661,27.9,54,5.58
2013,Ludhiana,Sugarcane,404,27.2,71,5.64
2014,Ludhiana,Sugarcane,621,25.0,79,5.71
2015,Ludhiana,Sugarcane,1030,32.7,54,6.48
2016,Ludhiana,Sugarcane,411,35.0,53,6.08
2017,Ludhiana,Sugarcane,448,31.2,59,5.6
2018,Ludhiana,Sugarcane,481,31.8,54,5.89
2019,Ludhiana,Sugarcane,744,25.9,66,6.23
2020,Ludhiana,Sugarcane,762,28.8,71,5.87
2021,Ludhiana,Sugarcane,619,27.1,64,5.78
2022,Ludhiana,Sugarcane,606,31.0,60,6.46
2023,Ludhiana,Sugarcane,592,25.7,81,5.87
2024,Ludhiana,Sugarcane,833,33.4,83,5.7
2010,Ludhiana,Mustard,998,24.1,81,2.26
2011,Ludhiana,Mustard,918,27.4,80,1.79
2012,Ludhiana,Mustard,798,28.9,63,1.91
2013,Ludhiana,Mustard,982,30.5,66,2.27
2014,Ludhiana,Mustard,769,27.7,72,2.13
2015,Ludhiana,Mustard,692,34.1,85,2.27
2016,Ludhiana,Mustard,1042,32.7,59,1.92
2017,Ludhiana,Mustard,410,31.2,56,2.39
2018,Ludhiana,Mustard,607,32.2,80,2.33
2019,Ludhiana,Mustard,813,24.1,51,2.27
2020,Ludhiana,Mustard,923,33.4,54,2.28
2021,Ludhiana,Mustard,1057,28.2,65,1.97
2022,Ludhiana,Mustard,918,33.2,58,2.29
2023,Ludhiana,Mustard,920,31.1,51,2.25
2024,Ludhiana,Mustard,801,29.4,58,1.71
2010,Ludhiana,Potato,473,29.9,52,4.6
2011,Ludhiana,Potato,591,34.3,69,4.81
2012,Ludhiana,Potato,878,34.4,72,4.7
2013,Ludhiana,Potato,1071,25.8,56,5.46
2014,Ludhiana,Potato,854,26.4,57,5.24
2015,Ludhiana,Potato,629,25.9,79,4.67
2016,Ludhiana,Potato,956,25.8,61,4.52
2017,Ludhiana,Potato,430,33.7,51,5.06
2018,Ludhiana,Potato,443,27.2,82,5.23
2019,Ludhiana,Potato,659,30.4,63,4.91
2020,Ludhiana,Potato,486,34.7,67,4.68
2021,Ludhiana,Potato,1021,34.2,63,4.76
2022,Ludhiana,Potato,815,30.0,80,4.79
2023,Ludhiana,Potato,525,33.9,78,5.35
2024,Ludhiana,Potato,996,28.2,67,5.33
2010,Ludhiana,Bajra,488,27.4,85,2.02
2011,Ludhiana,Bajra,1028,26.0,63,1.9
2012,Ludhiana,Bajra,810,29.4,51,2.1
2013,Ludhiana,Bajra,480,32.6,71,2.62
2014,Ludhiana,Bajra,865,29.7,63,2.16
2015,Ludhiana,Bajra,903,32.4,82,1.82
2016,Ludhiana,Bajra,586,31.6,72,2.23
2017,Ludhiana,Bajra,487,29.7,76,1.94
2018,Ludhiana,Bajra,508,24.9,62,2.09
2019,Ludhiana,Bajra,820,30.6,54,2.34
2020,Ludhiana,Bajra,869,27.9,69,2.34
2021,Ludhiana,Bajra,522,30.6,75,2.47
2022,Ludhiana,Bajra,695,25.1,79,1.74
2023,Ludhiana,Bajra,770,31.3,77,2.21
2024,Ludhiana,Bajra,990,26.6,67,2.26
2010,Ludhiana,Gram,1082,31.0,69,1.91
2011,Ludhiana,Gram,958,30.9,62,2.18
2012,Ludhiana,Gram,519,25.2,84,2.08
2013,Ludhiana,Gram,746,31.8,51,2.04
2014,Ludhiana,Gram,644,29.0,85,1.64
2015,Ludhiana,Gram,911,27.4,70,1.6
2016,Ludhiana,Gram,724,24.4,76,2.06
2017,Ludhiana,Gram,726,31.0,81,2.06
2018,Ludhiana,Gram,656,29.5,63,1.34
2019,Ludhiana,Gram,1056,24.8,67,1.82
2020,Ludhiana,Gram,1052,24.5,78,1.98
2021,Ludhiana,Gram,943,34.7,75,1.33
2022,Ludhiana,Gram,735,29.5,63,1.69
2023,Ludhiana,Gram,882,34.1,58,1.85
2024,Ludhiana,Gram,1062,27.8,72,1.45
2010,Ludhiana,Sunflower,816,24.3,80,2.69
2011,Ludhiana,Sunflower,560,29.3,55,2.0
2012,Ludhiana,Sunflower,878,31.5,81,2.66
2013,Ludhiana,Sunflower,1060,33.2,58,2.03
2014,Ludhiana,Sunflower,868,30.8,80,1.86
2015,Ludhiana,Sunflower,555,25.8,66,2.64
2016,Ludhiana,Sunflower,407,28.1,60,2.77
2017,Ludhiana,Sunflower,923,33.5,84,1.86
2018,Ludhiana,Sunflower,1009,27.0,70,1.93
2019,Ludhiana,Sunflower,1029,29.6,65,1.92
2020,Ludhiana,Sunflower,801,25.9,57,2.64
2021,Ludhiana,Sunflower,455,26.6,63,2.54
2022,Ludhiana,Sunflower,461,34.4,50,2.61
2023,Ludhiana,Sunflower,820,30.4,50,2.52
2024,Ludhiana,Sunflower,592,30.3,69,2.54
2010,Amritsar,Wheat,477,26.7,56,3.59
2011,Amritsar,Wheat,966,34.5,72,3.39
2012,Amritsar,Wheat,870,27.0,54,3.13
2013,Amritsar,Wheat,653,34.9,64,3.97
2014,Amritsar,Wheat,717,34.4,57,3.09
2015,Amritsar,Wheat,449,28.3,53,3.68
2016,Amritsar,Wheat,658,32.1,72,3.2
2017,Amritsar,Wheat,919,30.6,52,3.08
2018,Amritsar,Wheat,691,29.1,71,3.56
2019,Amritsar,Wheat,816,24.9,81,3.31
2020,Amritsar,Wheat,857,30.2,61,3.47
2021,Amritsar,Wheat,408,28.6,72,3.1
2022,Amritsar,Wheat,406,31.7,84,3.15
2023,Amritsar,Wheat,438,29.8,68,3.05
2024,Amritsar,Wheat,693,32.2,56,3.98
2010,Amritsar,Rice,1049,24.2,66,4.97
2011,Amritsar,Rice,1095,25.4,76,4.67
2012,Amritsar,Rice,774,32.9,73,4.41
2013,Amritsar,Rice,425,31.6,65,4.0
2014,Amritsar,Rice,863,33.4,85,4.05
2015,Amritsar,Rice,447,26.9,62,4.28
2016,Amritsar,Rice,574,33.8,80,4.57
