District,Crop,Year,Temperature,Rainfall,Humidity,Yield
Amritsar,Bajra,2015,24.7,788.0,60.0,2.29
Amritsar,Bajra,2016,26.7,738.0,65.0,1.73
Amritsar,Bajra,2017,25.7,808.0,70.0,1.98
Amritsar,Bajra,2018,27.7,688.0,68.0,2.24
Amritsar,Bajra,2019,28.7,668.0,72.0,2.06
Amritsar,Bajra,2020,29.7,638.0,75.0,2.52
Amritsar,Bajra,2021,26.7,768.0,66.0,2.19
Amritsar,Bajra,2022,25.7,798.0,64.0,2.35
Amritsar,Bajra,2023,27.7,708.0,69.0,2.68
Amritsar,Bajra,2024,28.7,678.0,71.0,2.15
Amritsar,Cotton,2015,24.7,788.0,60.0,2.78
Amritsar,Cotton,2016,26.7,738.0,65.0,3.0
Amritsar,Cotton,2017,25.7,808.0,70.0,2.47
Amritsar,Cotton,2018,27.7,688.0,68.0,2.75
Amritsar,Cotton,2019,28.7,668.0,72.0,2.72
Amritsar,Cotton,2020,29.7,638.0,75.0,2.39
Amritsar,Cotton,2021,26.7,768.0,66.0,3.01
Amritsar,Cotton,2022,25.7,798.0,64.0,2.47
Amritsar,Cotton,2023,27.7,708.0,69.0,2.44
Amritsar,Cotton,2024,28.7,678.0,71.0,2.93
Amritsar,Gram,2015,24.7,788.0,60.0,1.49
Amritsar,Gram,2016,26.7,738.0,65.0,2.07
Amritsar,Gram,2017,25.7,808.0,70.0,1.46
Amritsar,Gram,2018,27.7,688.0,68.0,1.33
Amritsar,Gram,2019,28.7,668.0,72.0,1.85
Amritsar,Gram,2020,29.7,638.0,75.0,1.84
Amritsar,Gram,2021,26.7,768.0,66.0,1.63
Amritsar,Gram,2022,25.7,798.0,64.0,1.57
Amritsar,Gram,2023,27.7,708.0,69.0,1.53
Amritsar,Gram,2024,28.7,678.0,71.0,1.92
Amritsar,Maize,2015,24.7,788.0,60.0,2.72
Amritsar,Maize,2016,26.7,738.0,65.0,3.36
Amritsar,Maize,2017,25.7,808.0,70.0,3.19
Amritsar,Maize,2018,27.7,688.0,68.0,2.67
Amritsar,Maize,2019,28.7,668.0,72.0,3.16
Amritsar,Maize,2020,29.7,638.0,75.0,2.73
Amritsar,Maize,2021,26.7,768.0,66.0,3.12
Amritsar,Maize,2022,25.7,798.0,64.0,2.55
Amritsar,Maize,2023,27.7,708.0,69.0,2.68
Amritsar,Maize,2024,28.7,678.0,71.0,2.54
Amritsar,Mustard,2015,24.7,788.0,60.0,2.06
Amritsar,Mustard,2016,26.7,738.0,65.0,2.46
Amritsar,Mustard,2017,25.7,808.0,70.0,1.9
Amritsar,Mustard,2018,27.7,688.0,68.0,1.8
Amritsar,Mustard,2019,28.7,668.0,72.0,2.38
Amritsar,Mustard,2020,29.7,638.0,75.0,1.92
Amritsar,Mustard,2021,26.7,768.0,66.0,1.65
Amritsar,Mustard,2022,25.7,798.0,64.0,1.9
Amritsar,Mustard,2023,27.7,708.0,69.0,2.36
Amritsar,Mustard,2024,28.7,678.0,71.0,2.03
Amritsar,Potato,2015,24.7,788.0,60.0,5.4
Amritsar,Potato,2016,26.7,738.0,65.0,4.87
Amritsar,Potato,2017,25.7,808.0,70.0,5.03
Amritsar,Potato,2018,27.7,688.0,68.0,5.45
Amritsar,Potato,2019,28.7,668.0,72.0,4.73
Amritsar,Potato,2020,29.7,638.0,75.0,4.51
Amritsar,Potato,2021,26.7,768.0,66.0,4.74
Amritsar,Potato,2022,25.7,798.0,64.0,4.73
Amritsar,Potato,2023,27.7,708.0,69.0,4.9
Amritsar,Potato,2024,28.7,678.0,71.0,5.24
Amritsar,Rice,2015,24.7,788.0,60.0,4.28
Amritsar,Rice,2016,26.7,738.0,65.0,4.57
Amritsar,Rice,2017,25.7,808.0,70.0,4.33
Amritsar,Rice,2018,27.7,688.0,68.0,4.09
Amritsar,Rice,2019,28.7,668.0,72.0,4.86
Amritsar,Rice,2020,29.7,638.0,75.0,4.77
Amritsar,Rice,2021,26.7,768.0,66.0,4.27
Amritsar,Rice,2022,25.7,798.0,64.0,4.42
Amritsar,Rice,2023,27.7,708.0,69.0,4.53
Amritsar,Rice,2024,28.7,678.0,71.0,4.93
Amritsar,Sugarcane,2015,24.7,788.0,60.0,6.19
Amritsar,Sugarcane,2016,26.7,738.0,65.0,5.99
Amritsar,Sugarcane,2017,25.7,808.0,70.0,5.97
Amritsar,Sugarcane,2018,27.7,688.0,68.0,5.87
Amritsar,Sugarcane,2019,28.7,668.0,72.0,5.85
Amritsar,Sugarcane,2020,29.7,638.0,75.0,5.95
Amritsar,Sugarcane,2021,26.7,768.0,66.0,5.67
Amritsar,Sugarcane,2022,25.7,798.0,64.0,6.07
Amritsar,Sugarcane,2023,27.7,708.0,69.0,5.91
Amritsar,Sugarcane,2024,28.7,678.0,71.0,5.83
Amritsar,Sunflower,2015,24.7,788.0,60.0,1.98
Amritsar,Sunflower,2016,26.7,738.0,65.0,1.81
Amritsar,Sunflower,2017,25.7,808.0,70.0,2.41
Amritsar,Sunflower,2018,27.7,688.0,68.0,2.54
Amritsar,Sunflower,2019,28.7,668.0,72.0,2.56
Amritsar,Sunflower,2020,29.7,638.0,75.0,2.65
Amritsar,Sunflower,2021,26.7,768.0,66.0,1.9
Amritsar,Sunflower,2022,25.7,798.0,64.0,1.94
Amritsar,Sunflower,2023,27.7,708.0,69.0,2.54
Amritsar,Sunflower,2024,28.7,678.0,71.0,2.52
Amritsar,Wheat,2015,24.7,788.0,60.0,3.68
Amritsar,Wheat,2016,26.7,738.0,65.0,3.2
Amritsar,Wheat,2017,25.7,808.0,70.0,3.08
Amritsar,Wheat,2018,27.7,688.0,68.0,3.56
Amritsar,Wheat,2019,28.7,668.0,72.0,3.31
Amritsar,Wheat,2020,29.7,638.0,75.0,3.47
Amritsar,Wheat,2021,26.7,768.0,66.0,3.1
Amritsar,Wheat,2022,25.7,798.0,64.0,3.15
Amritsar,Wheat,2023,27.7,708.0,69.0,3.05
Amritsar,Wheat,2024,28.7,678.0,71.0,3.98
Barnala,Bajra,2015,24.85,792.0,60.0,2.41
Barnala,Bajra,2016,26.85,742.0,65.0,2.15
Barnala,Bajra,2017,25.85,812.0,70.0,2.34
Barnala,Bajra,2018,27.85,692.0,68.0,2.44
Barnala,Bajra,2019,28.85,672.0,72.0,2.49
Barnala,Bajra,2020,29.85,642.0,75.0,1.82
Barnala,Bajra,2021,26.85,772.0,66.0,2.1
Barnala,Bajra,2022,25.85,802.0,64.0,2.68
Barnala,Bajra,2023,27.85,712.0,69.0,1.74
Barnala,Bajra,2024,28.85,682.0,71.0,1.81
Barnala,Cotton,2015,24.85,792.0,60.0,3.11
Barnala,Cotton,2016,26.85,742.0,65.0,2.46
Barnala,Cotton,2017,25.85,812.0,70.0,2.68
Barnala,Cotton,2018,27.85,692.0,68.0,2.43
Barnala,Cotton,2019,28.85,672.0,72.0,2.6
Barnala,Cotton,2020,29.85,642.0,75.0,2.94
Barnala,Cotton,2021,26.85,772.0,66.0,2.47
Barnala,Cotton,2022,25.85,802.0,64.0,2.85
Barnala,Cotton,2023,27.85,712.0,69.0,3.03
Barnala,Cotton,2024,28.85,682.0,71.0,2.99
Barnala,Gram,2015,24.85,792.0,60.0,2.15
Barnala,Gram,2016,26.85,742.0,65.0,1.7
Barnala,Gram,2017,25.85,812.0,70.0,1.42
Barnala,Gram,2018,27.85,692.0,68.0,2.26
Barnala,Gram,2019,28.85,672.0,72.0,1.85
Barnala,Gram,2020,29.85,642.0,75.0,2.17
Barnala,Gram,2021,26.85,772.0,66.0,2.03
Barnala,Gram,2022,25.85,802.0,64.0,1.5
Barnala,Gram,2023,27.85,712.0,69.0,1.94
Barnala,Gram,2024,28.85,682.0,71.0,1.43
Barnala,Maize,2015,24.85,792.0,60.0,3.48
Barnala,Maize,2016,26.85,742.0,65.0,2.67
Barnala,Maize,2017,25.85,812.0,70.0,3.0
Barnala,Maize,2018,27.85,692.0,68.0,3.36
Barnala,Maize,2019,28.85,672.0,72.0,3.25
Barnala,Maize,2020,29.85,642.0,75.0,3.34
Barnala,Maize,2021,26.85,772.0,66.0,2.96
Barnala,Maize,2022,25.85,802.0,64.0,2.9
Barnala,Maize,2023,27.85,712.0,69.0,2.54
Barnala,Maize,2024,28.85,682.0,71.0,3.41
Barnala,Mustard,2015,24.85,792.0,60.0,2.04
Barnala,Mustard,2016,26.85,742.0,65.0,1.67
Barnala,Mustard,2017,25.85,812.0,70.0,2.18
Barnala,Mustard,2018,27.85,692.0,68.0,2.4
Barnala,Mustard,2019,28.85,672.0,72.0,2.44
Barnala,Mustard,2020,29.85,642.0,75.0,2.33
Barnala,Mustard,2021,26.85,772.0,66.0,2.0
Barnala,Mustard,2022,25.85,802.0,64.0,1.88
Barnala,Mustard,2023,27.85,712.0,69.0,1.58
Barnala,Mustard,2024,28.85,682.0,71.0,2.16
Barnala,Potato,2015,24.85,792.0,60.0,5.36
Barnala,Potato,2016,26.85,742.0,65.0,5.11
Barnala,Potato,2017,25.85,812.0,70.0,4.77
Barnala,Potato,2018,27.85,692.0,68.0,5.48
Barnala,Potato,2019,28.85,672.0,72.0,5.26
Barnala,Potato,2020,29.85,642.0,75.0,5.33
Barnala,Potato,2021,26.85,772.0,66.0,5.35
